Gene	MutSig(Q-value)	# Mut	#	Profiled Samples	Freq	Is Cancer Gene (source: OncoKB)
MFSD3		1	1	1049	<0.1%	No
ST6GALNAC5		1	1	1049	<0.1%	No
OGN		1	1	1049	<0.1%	No
KHDRBS1		1	1	1049	<0.1%	No
CDC42BPG		1	1	1049	<0.1%	No
ANKS1B		1	1	1049	<0.1%	No
DNAH3		2	2	1049	0.2%	No
LAMA1		2	2	1049	0.2%	No
AGPAT4		1	1	1049	<0.1%	No
KRTAP1-1		1	1	1049	<0.1%	No
RALGAPA1		1	1	1049	<0.1%	No
FOXO3		1	1	196	0.5%	Yes
INPP5D		2	2	196	1.0%	Yes
FLNB		1	1	1049	<0.1%	No
FLNA		1	1	1049	<0.1%	No
FOXRED1		1	1	1049	<0.1%	No
FLG		3	3	1049	0.3%	No
STAB2		1	1	1049	<0.1%	No
OLR1		1	1	1049	<0.1%	No
INSR		8	7	844	0.8%	Yes
KLF1		1	1	1049	<0.1%	No
INSRR		3	3	1049	0.3%	No
CTCF		19	19	998	1.9%	Yes
CD226		1	1	1049	<0.1%	No
FLNC		1	1	1049	<0.1%	No
SPECC1		1	1	1049	<0.1%	No
IRF2		3	3	723	0.4%	Yes
IRF4		4	4	998	0.4%	Yes
CDH2		4	4	746	0.5%	No
FMO3		1	1	1049	<0.1%	No
PYHIN1		1	1	1049	<0.1%	No
RGS14		1	1	1049	<0.1%	No
FLT4		9	8	1021	0.8%	Yes
KRTAP9-9		1	1	1049	<0.1%	No
KRTAP4-6		2	2	1049	0.2%	No
FLT3		7	7	1021	0.7%	Yes
KRTAP2-1		1	1	1049	<0.1%	No
FLT1		14	14	1021	1.4%	Yes
ILDR2		2	2	1049	0.2%	No
IRAK1		3	3	1049	0.3%	No
ITGA6		1	1	1049	<0.1%	No
OPRK1		1	1	1049	<0.1%	No
POSTN		1	1	1049	<0.1%	No
OPRM1		1	1	1049	<0.1%	No
FMO4		1	1	1049	<0.1%	No
FNTB		1	1	1049	<0.1%	No
CDH12		1	1	1049	<0.1%	No
CDH10		2	2	1049	0.2%	No
FN1		1	1	1049	<0.1%	No
